source,target
썸남이 춥다고 옷 잠궈주는데 설레,"Summer is cold,"
썸남이 카톡에서 하트 붙였어,The thumbnam was stuck in Katok.
썸남이 톡이 느려,Summar
썸남이랑 1박 2일로 펜셥 잡고 놀러가는데 고백 없으면 끝,"If you do not have confessions to catch the pen, you go to the pen,"
썸남이랑 궁합,Compatibility with Thumbnail
썸남이랑 꽁냥거리는데 설레,I am a thumbnail.
썸남이랑 끝인 것 같아 촉이 와,I think it's the end of the thumbnail.
썸남이랑 뭐하지,Somebody and what do you do
썸남이랑 밥 먹기로 했는데 뭐 먹자고 하지,I decided to eat and I was eating.
썸남이랑 벚꽃 놀이 가고 싶어,I want to go to the Summar and Cherry Blossoms
썸남이랑 여행가도 돼,I can travel with thumbnails.
썸남이랑 영화 뭐 보지,What is the movie and the movie?
썸남이랑 헬스장에서 운동 가능,Can be exercised at the gym with thumbnails
썸남인데 넘 귀여워 어쩌지,It's a thumbnail.
썸남인데 모텔 가자고 함 어떻게 거절해,"It's a thumbnail, but it's a motel."
썸남인줄 알았는데 짝남이었나봐,I thought it was a thumbnail.
썸남한테 같이 카공하자고 할까,I will make you a thumbnail.
썸남한테 같이 카페에서 공부하자고 할까,Do you want to study at a cafe like a thumbname?
썸남한테 먼저 연락해도 될까,Can I contact you first?
썸남한테 뭐라고 카톡하지,I do not know what to do.
썸남한테 빼빼로 줄까,Would you like to be a pepper
썸남한테 소개팅 나가라고 해볼까,Let's say I'll go out to the Summar.
썸남한테 소개팅 나간다고 해볼까,Let's say that I have a blind date
썸남한테 영화 보자고 해볼까,Let's see the movie to see the movie.
썸남한테 책 같이 읽자고 할까,I want to read a book like a book.
썸남한테 책 선물해도 괜찮을까,Would it be okay to present a book to a thumbnail?
썸남한테 크리스마스 선물 오바,Christmas Gift Obia to Thumbnail
썸남한테 표현 못하겠어 어떻게 해,I can not express my thumbnail.
썸녀 꿈 꿨어,I had a dream dream.
썸녀 만나는데 뭐 입지,I meet a little girl
썸녀 웃기는 방법 좀,How to laugh
썸녀 주변에 남자가 많아,There are many men around the girl.
썸녀 태도가 짜증남,The young woman's attitude is annoyed.
썸녀 화이트데이 선물 뭐가 좋을까,What is a little white day gift?
썸녀가 그냥 오빠 동생으로 지내자 했음,I was just a little brother to my brother.
썸녀가 약속 시간을 안 지킴,Thumbnails will not keep an appointment time
썸녀가 오디션 붙었대,The girl was audited.
썸녀가 짝녀 됐습니다,The girl was fed.
썸녀랑 거의 사귀는 수준인데 꼭 고백해야해,It's almost in love with a little girl. I have to confess.
썸녀랑 밥 먹는데 어디가지,I eat a little girl with a little girl
썸녀랑 어떤 대화를 해야 해,I have to talk to a little girl.
썸녀한테 미련 남아,I left a thumbs up.
썸녀한테 여행가자고 해도 됨,Travel to a little girl
썸녀한테 크리스마스 선물 오바인 부분,Christmas Gift Obsidian Parts
썸도 문화차이가 있나,There is a cultural difference
썸도 후폭풍 옴,Thumb
썸만 타고 싶어,I want to ride a thumb
썸만 타고 싶어 사귀는 건 걱정돼,I am worried that I just want to ride a thumb.
썸말고 사귀고 싶어,I want to make a thumb.
썸에도 유통기한이 있어,There's a shelf life even in the thumb.
썸에서 발전하고 싶어,I want to develop from the thumb
썸에서 연애로 넘어갔어요,I went to dating in the thumb.
썸에서 연애로 못넘가요,I can not do it in the thumb.
썸에서 연인될 수 있을까,Could it be a lover in a thumb?
썸에서 자꾸 끝나요,I'm finished in the thumb.
썸은 꼭 타야 해,I have to take a thumb.
썸은 어떻게 타는거야,How do you ride?
썸은 얼마나 타,How much is the thumb
썸은 연락만,Thumbs up only
썸은 왜 타,Why do you have a thumb
썸은 좋았는데 연애는 별로,"The thumb was good,"
썸은 좋은데 사귀긴 싫어,I do not want to have a good idea.
썸을 오래 탔는데 사귀어도 괜찮은 사람일까,"I got a thumb long, but it's okay."
썸을 오래 탔는데 사귀어도 되는 거야,"I have a long step, but I can dating."
썸의 기준이 뭐야,What is the standard of thumb?
썸의 조건이 뭐야,What is the condition of the thumb?
썸이 날 싫어하는 꿈을 꿨어,I had a dream that I hate me.
썸이 너무 긴듯,Thumb is too long
썸이 너무 길어,Thumb is too long.
썸이 딱 좋은 것 같아 연애 싫음,I do not like the thumb
썸이 뭐야,What is the thumb?
썸이 뭐임,What is the thumb?
썸이 왜 깨졌는지 모르겠어,I do not know why the thumb was broken.
썸이 좋아,I like thumb
썸이랑 친구 사이,Thumb and Friends
썸이었으면 좋겠다,I wish I could.
썸이었으면 좋겠어,I wish I could.
썸이었으면 좋겠어,I wish I could.
썸인 거 같은데 연락 안 하면,I do not know if I do not contact you.
썸인 거 같은데 연락이 안돼,I do not like it.
썸인가,Thumb
썸인가 아닌가,Is not it a thumb
썸인가 애매한 거 싫어,I do not want to be ambiguous.
썸인가요,Is it a thumb?
썸인데 나 솔로야,"Thumb, but I'm solo."
썸인데 떠보는 거 같아요,"I think it's a thumb,"
썸인데 선물해도 돼,I can present it.
썸인데 스킨십 어디까지 괜찮아,"It's a thumb,"
썸인데 스킨십 해도 돼,"It's thumb, but I can skisk."
썸인데 싸늘해,It's a thumb.
썸인데 어디 가는게 좋음,"It's a thumb,"
썸인데 연락이 너무 늦어,"It's a thumb, too late."
썸인데 영화보재 뭐 보지,"I'm a thumb,"
썸인데 자꾸 외롭다고 해,"I'm a thumb, but I'm lonely."
썸인데 행동은 커플,"I am a thumb,"
썸인지 쌈인지,Thumbnails
썸인지 아닌지,Whether or not
썸인지 아닌지 알 수 있나,You know if it's a thumb.
썸인지 아닌지 확신이 안들어,I do not know if it's a thumb.
썸인지 아닌지 확인하는 방법 있어,There is a way to check if it's a thumb.
썸인지 알려면,To know if it's a thumb
썸인지 애매모호해,I am ambiguous
썸인지 어장인지,It is a fishery
썸인지 착각인지,If it is a thumbnail
썸인지 헷갈려,It's a thumbnail.
썸인지 확인하는 방법 있나,How to check if it's a thumb
썸일 때 다른 사람 만나면,When you meet others when you are a thumb
썸일 때도 스킨십 하고 싶어,I want to be a skisk when I'm a thumb.
썸일 때도 질투함,Jeals when you are a thumb
썸일까,Thumb
썸타고 싶어요,I want to be a thumb.
썸타고 있는데 먼저 연락해도 되는 부분,I'm going to be a thumb.
썸타고 있는데 소개팅 나가도 될까요,May I get a blind date.
썸타고 있어요,I'm a thumb.
썸타는 사람이 나한테 관심 없는 것 같아,Thumbnail seems to be interested in me.
썸타는 사람이 많은 거 같은데,I think there's a lot of people.
썸타는 사람이 플라토닉 사랑을 이해해줄까,I wonder if a thumbman understands the love of Platonic
썸타는 애랑 노래방 가는데,The thumbnail is a jerk.
썸타는 애랑 잘되는 팁 좀,The thumbnail is a good tip
썸타는 중인데 계속 먼저 연락해도 됨,I'm going to contact you first.
썸타는데 갠톡 안하면,"If you do not do it,"
썸타는데 돈 필요하대,I need money for a thumb
썸타다 끝났나,I'm finished.
썸타다 지침,Thumbnail instructions
썸타다가 갑자기 연락이 없어,Thumbnatada suddenly contacts
썸타던 여자가 갑자기 돌아섰어,A woman who ranned suddenly turned around.
썸탈때 여자가 먼저 연락하면 안돼,"When a woman is in the case of a thumb, you can not contact you first."
썸탈때 카톡,"When a thumbnail,"
씨씨인데 몰래 만나고 있는데 공개 연애 하자고 할까,I am Mr. Mr.
씨씨인데 몰래 만나고 있는데 공개 연애 하자고 할까,I am Mr. Mr.
씻어도 냄새나는 거 같애,I think it's smelly washed.
아기 생겼어,I have a baby.
아기 좋아하는 남자 어때,How about a baby's favorite man?
아기 좋아하는 남자 어때,How about a baby's favorite man?
아기 좋아하는 여자 어때,How about a baby girl?
아기 좋아하는 여자 어때,How about a baby girl?
아낌없이 퍼주는 스타일 호구인걸까,I do not know what to do.
아내한테 만족해,I am satisfied with my wife.
아름다운 이별은 없겠지,There's no beautiful parting.
아름답게 잊혀지길,Beautifully forgotten
아마 평생 모르겠지,Maybe I do not know my life.
아무리 눈치 없어도 좋아하는 티 내면 알아채나요,"No matter how I do not notice,"
아무리 바빠도 연락을 해야하는 거 아냐,No matter how you should do it?
아무리 지쳐도 집에 가면 있는 내편,"No matter how tired,"
아직 마음을 모르겠는데 고백해도 돼,I do not know my heart yet.
아직 사귀지도 않는데 의심을 해,I do not have to be dating yet.
아직 좋아하는데 헤어지자고 하는 경우 있어,I still like to break up.
아직도 사랑하는 거 같아,I still think I love you.
아직도 좋아하는 사람이 있는데,I still have a favorite person.
아침 등교할때 버스정류장에서 항상 마주치는 짝녀에게 말 걸어보고싶어,I always want to talk to the mouse at the bus stop at the bus stop when I am in the morning.
안 좋아하는 법 좀 알려줘,Let me know how to do it.
안 좋아하는데 계속 만나는 거 가능,I do not like it.
안경 쓰는 남자애 좋아하는 남자 있어,I like to wear glasses.
안경 쓰는 여자애 좋아하는 남자 있어,I like to wear glasses.
알바하면서 썸 많이 타,"Alba,"
앞으로 짝남 안봐야지,I have to do it in the future.
애기 안 갖고 싶어,I want to have a baby.
애기 일찍 갖는 게 좋을까,Would I like to have a baby earlier?
애니 좋아하는 남자 별로임,Annie's favorite man
애니 좋아하는 사람 별로야,Anime's favorite person
애들이 썸 타냐고 물어봐,Ask the kids to do it.
애매모호한 썸 그냥 끝낼까,I just finish my ambiguous thumb
애매한 관계같아,It's like an ambiguous relationship.
애인이 있는데 좋아하는 사람이 생겼어요,"I have a lover, but I have a favorite person."
애정운 궁금하다,Quite
애프터까지 왔는데 연락이 뜸해,I came up to the after-sales.
약간 나혼자 썸타는 듯,"Somewhere,"
약속 끝나고 짝남에게 집에 데려달라고하면 오해하려나,I'm going to get a misunderstanding if I asked me to bring it to my house after an appointment.
약속 끝나고 짝녀를 집에 데려다주면 너무 티나려나,I'm going to take my wife at home after the appointment.
약속을 계속 미루는 썸남,Thumbnail
양궁카페 갔다옴,I went to Archery Cafe
어떤 남자가 엄청 수작부려,Some men are so crowded
어떤 남자애가 나 내일 뭐하냐는데 뭐라하지,"What is a boy, what are you doing tomorrow?"
어떤 남자애가 내일 뭐하냐는데 나한테 관심있나,What are you doing for me tomorrow?
어떤 사람 꿈 꾸고 나서 호감 생겼어,Someone dreaming of a dream
어떤 사람 만나야해,I have to meet someone.
어떤 사람을 만나는 게 좋을까,Will you be better to meet someone
어떤 사람이 춥다고 나만 옷 벗어줌,"Some people are cold,"
어떤 사람이랑 사랑하고 싶어,I want to love someone with someone
어떤 여자가 나한테 끼 부려,Some woman hold me to me
어떤 연애 하고 싶어,What a love
어떨때 사랑하는구나 알아,I do not know how to do it.
어떨때 연인이 변했다고 생각해,I think the lover has changed.
어떻게 꼬시지,How to
어떻게 심쿵하게 하지,How do I simply
어떻게 여러 명을 좋아할 수 있어,How can I like multiple people?
어떻게 오래만나지,How do you meet
어떻게 용기를 내,How to make courage
어떻게 프로포즈 하지,How to propose
어떻게 해야 오래 만날 수 있을까,How can I meet a long time?
어릴땐 누군가를 참 쉽게 좋아했는데 지금은 어려워,"When I was a child, I liked someone really easy, but now it's difficult."
어장관리 당한 걸 알게 됐어,I know I was a fishery managed.
어장이면 슬플 거 같아,I think it's sad if it's a fishery.
어장이면 어떡해,What do you do if it's a fishery?
어장인거 아는데도 좋아해,I like it to know that it's a fishery.
어장인거 알게 됐는데 포기해야겠지,I know I know it's a fishery.
어장인거 알겠는데 포기가 안돼,I know that I can not give up.
어장인건가,The fisherman
어제 동창회 갔는데 나 걔랑 썸 타는 것 같애,"I went to the alumni yesterday, but I think he's thumb"
어제 짝남이랑 꿈에서 놀았는데 다시 꾸고 싶다,"I played in a mate and a dream yesterday,"
어제 짝남이랑 놀았는데 꿈같다,"I played with a mate yesterday,"
어제 짝남한테 너무 차갑게 말한 것 같아,I think it's too cold to me yesterday.
어제 짝녀랑 데이트했는데 꿈만 같습니다,"I was dating with my girl yesterday,"
어제 짝녀한테 너무 차갑게 말한 듯,I seemed to be so cool to my girl yesterday
어플로 만난 남자친구 계속 만나는게 맞는걸까,I meet the boyfriend who met an application.
어플로 만난 여자친구 계속 연애하는게 맞는걸까,I keep my girlfriend who met an application.
언제 사랑 받는 구나 느껴,When I feel loved
언제까지 내가 선톡을 해야할까,How long should I take a good time?
엄청 로맨틱해,I'm so romantic
엠티 가는데 짝남이랑 같은 조 됐으면 좋겠다,I want to go to Mt.
엠티 가는데 짝녀랑 같은 반 되길,I'm going to go with a mute.
여러 명과 썸,Several and thumb
여러명 좋아하면 안돼,You can not like several things.
여리여리한 여자가 이상형이래,This is a woman
여린 마음에 상처준 건 아닐까,I do not know what to do with my heart.
여사친 좋아하는 내가 짜증남,My favorite likes I am annoyed
여사친이 많은 썸남,A lot of girls
여사친이 여자로 느껴질때 있어,I feel when my wife feels as a woman.
여사친이 좋아졌어,My girlfriend liked her.
여사친이 좋아진 것 같애,I think she's getting better
여사친이라 쓰고 짝사랑녀라고 읽는다,"I read it, I read it and I read it."
여사친이랑 사귀는 거 가능,You can make yourself with you
여사친이랑 연락이 끊기지 않고 너무 잘되는데 그린라이트일까,"I do not have to contact you with my girlfriend,"
여사친이랑 잘되고 싶다,I want to be good with her girl.
여사친인데 좋아하는 듯,"I like it,"
여자가 남자한테 잘해주면 질려,"If a woman is good for a man,"
여자가 더 사랑해서 한 결혼,A woman who loves a woman and a marriage
여자가 먼저 고백하는 거 어때,How about a woman confesses first
여자는 좋아하는 남자랑 눈 마주치면 어때,When a woman is a favorite man
여자는 호감 없어도 잘해줘,Women do not crush well.
여자들은 남자가 자기 좋아하는거 눈치 잘 채,Women are not able to make a man's favorite
여자들은 몇 년이고 짝사랑하기도 해,Women also love a few years and love
여자들은 좋아하는 남자가 자기보다 능력이 좋은 경우에만 좋아하나요,Women are only like if a favorite man is better than his self.
여자들은 좋아하는 사람한테는 장난 잘 안 쳐,Women do not play well with their favorite people
여자들은 좋아하는 사람한테만 잘해줘,Women do well for the people who like.
여자들은 좋아하는데도 답장시간이 느릴 수 있나요,"Women can be slow, even if they like it."
여자들은 직장 내에 좋아하는 남자 생기면 어떡해,If the girls have a favorite man in the workplace
여자들은 착한 남자를 좋아하나요,Women like a good man.
여자들이 뒤에서 좋아하는 남자들 특징이 뭐임,What are the people who like women behind
여자들이 보통 좋아하는 음식이 뭐야,What is the food that women usually favorite
여자들이 싫어하는 남자들 특징 좀 알려주세요,Please let me know the people who dislike women
여자들이 좋아하는 남자 말투는 뭐가 있나요,What's the man who likes women's favorite?
여자들이 좋아하는 남자 특징,Women's favorite man features
여자들이 좋아하는 남자들 스타일이 어떻게 됨,How the women like women's favorite styles are
여자랑 단둘이 술마시는 남자친구를 이해해줘야할까,Do I have to understand my boyfriend who drinks with a woman.
여자에게 하는 기분 좋은 스킨십 알려줘,Let me know the pleasant skins for women.
여자인데 먼저 다가가도 돼,"I'm a girl, but I can come first."
여자인데 먼저 대쉬해도 됨,I am a girl and I can dash first.
여자친구 마중 나가야지,I have to get out of my girlfriend.
여자친구 만나고왔어,I came to meet my girlfriend.
여자친구 말고 다른 여자도 만나보고 싶어,I want to see a girl with a girlfriend.
여자친구 보고만 있어도 좋아,I love my girlfriend only
여자친구 부모님이 나를 좀 무시했어,My girlfriend parents ignored me.
여자친구 스타일이 마음에 안들어,I do not like my girlfriend style.
여자친구 쌩얼 보고 배신감 느껴,I feel a girlfriend
여자친구 쌩얼도 예뻐,The girlfriend is pretty
여자친구 여신같아,I like a girlfriend's goddess.
여자친구 오지랍 장난 아님,My girlfriend mischievous
여자친구 요구가 심해져,The girlfriend's demand is severe
여자친구 집까지 데려다주려고,To bring a girlfriend to a house
여자친구 패턴 몰래 봤어,I saw my girlfriend pattern secretly.
여자친구가 감정없이 카톡 답장해,I reply to my girlfriend without feeling.
여자친구가 갑자기 이유없이 화내,My girlfriend suddenly smoke without reason
여자친구가 게임을 너무하는게 고민이야,My girlfriend is a troubling game too.
여자친구가 계획적이지 않아서 스트레스 받아,Girlfriend is stressed because it is not planned
여자친구가 기념일을 잘 잊어,The girlfriend forgets the anniversary
여자친구가 나 사랑하는 건지 모르겠어,I do not know if my girlfriend is love.
여자친구가 나 사랑하는 건지 확신이 없어,I do not have any confidence when my girlfriend is love.
여자친구가 나를 sns에 올리지 않아서 서운해,"The girlfriend does not raise me on SNS,"
여자친구가 나를 떠날까봐 고민이야,I think my girlfriend would leave me.
여자친구가 나를 안 질려하려면 뭘 준비해야할까,What should I prepare for my girlfriend to do me
여자친구가 내 의견 안 들어,My girlfriend is in my opinion.
여자친구가 너무 귀가 얇아,My girlfriend is so ears too
여자친구가 너무 많은 걸 기억하길 바라는게 고민임,I wonder if my girlfriend wants to remember too much
여자친구가 너무 무뚝뚝해,My girlfriend is too blunt
여자친구가 너무 어린거 같아,I think my girlfriend is so a child.
여자친구가 너무 이쁘고 내가 못 생겨서 너무 자존감이 떨어짐,"My girlfriend is so pretty,"
여자친구가 너무 좋은데 자존감을 너무 떨어뜨려,"My girlfriend is so good, but I drop my self-esteem too"
여자친구가 너무 좋은데 점 본거에서는 만나지말래,I do not know if my girlfriend is too good.
여자친구가 너무 챙김받고 싶어해,I want to get a girlfriend too much.
여자친구가 눈치가 없어,My girlfriend is not noticed.
여자친구가 다른남자들에게 인기가 많은게 고민이야,My girlfriend is a lot of popularity to other men.
여자친구가 담배를 피는게 싫어,I hate that my girlfriend blooms a cigarette.
여자친구가 더치페이를 안해,I do not have a girlfriend dirty.
여자친구가 데이트 시간을 너무 안 지켜,My girlfriend keeps a date time
여자친구가 돈을 안 써,Girlfriend does not make money
여자친구가 돈이 너무 없어,My girlfriend is too much money.
여자친구가 돌아다니는걸 너무 좋아해,I love my girlfriend so much.
여자친구가 동거했었대,My girlfriend was living.
여자친구가 말을 듣기 좋게 해,The girlfriend makes me feel good.
여자친구가 바쁜걸 이해못해,I can not understand my girlfriend's busy girlfriend.
여자친구가 베지테리언이야,My girlfriend is Beggeeian.
여자친구가 변해가는거 같아,I think my girlfriend is changing.
여자친구가 비혼주의래,The girlfriend is notified
여자친구가 사진을 너무 많이 찍어,Girlfriend took too many pictures
여자친구가 살이 너무 쪄서 고민임,The girlfriend is so steamed
여자친구가 선톡을 안 해,I do not have a girlfriend to pay.
여자친구가 소극적이야,My girlfriend is passive.
여자친구가 수상해,Girlfriend won
여자친구가 순진한척해,My girlfriend pretends innocent.
여자친구가 술만 마시면 필름이 끊기는데 너무 걱정돼,"If your girlfriend drinks only drinks, you are so worried that the film breaks."
여자친구가 술을 못마시는데 분위기를 좋아해서 자주 술마시러가는게 고민이야,"I do not like my girlfriend to not drink, but I like the atmosphere and I often go to drink."
여자친구가 스킨십 하기 싫대,I do not like my girlfriend to skisk
여자친구가 스킨십을 너무 좋아해,My girlfriend likes skin too much
여자친구가 스킨십이 너무 없어,My girlfriend is not too much skinny.
여자친구가 애교 많았으면 좋겠어,I wish I had a lot of girlfriends.
여자친구가 애교가 많아졌으면 좋겠어,I wish my girlfriend has a lot of charm.
여자친구가 연락이 너무 많아,There are too many girlfriends to contact
여자친구가 연락이 안돼,My girlfriend is not in touch.
여자친구가 연락이 안돼,My girlfriend is not in touch.
여자친구가 연애하는데 가끔씩 막말을 해,"Sometimes my girlfriend is dating,"
여자친구가 예쁜데 착하기까지해,Girlfriend is pretty.
여자친구가 음식을 너무 적게 먹어,Girlfriend eats too little food
여자친구가 일정 중에 연락못하는걸 이해못함,I do not understand that my girlfriend can not contact you on a certain
여자친구가 자기 말만하고 내 말은 안 들어,My girlfriend is selfless and I did not
여자친구가 자꾸 구속해,My girlfriend keeps restraining.
여자친구가 자꾸 의심해,My girlfriend is suspicious
여자친구가 자주 씻지를 않아,My girlfriend does not wash often often
여자친구가 작은 일까지 다 기억해,I remember everything my girlfriend is small.
여자친구가 잘 삐져,Girlfriend is well
여자친구가 잘 삐져,Girlfriend is well
여자친구가 잘못된건 아닌데 표현이 너무 서툴러,"The girlfriend is not wrong, but the expression is so sad"
여자친구가 잘못을 해도 다 공감해주는게 옳은걸까,Is it right to sympathize with my girlfriend everything.
여자친구가 잠이 너무 많아,There are so many girlfriends sleep.
여자친구가 좋은데 믿음이 안 가,"My girlfriend is good, but faith is not"
여자친구가 좋은데 왠지 모르게 귀찮아,"My girlfriend is good, but I'm not sure that I do not know why."
여자친구가 준 생일 선물이 별로야,I do not have a birthday gift of my girlfriend.
여자친구가 집안일을 너무 안해 나만 하는거같아,I think my girlfriend is not too much to do the housework.
여자친구가 취업하더니 변하더라,I changed my girlfriend and changed.
여자친구가 친구들이랑 여행을 가는데 남자도 있으면 어떡해,"If a girlfriend travels with friends, what if there's a man."
여자친구가 커피를 못 마셔서 카페 대신에 갈만한 곳,"Where a girlfriend can not drink coffee,"
여자친구가 쿨했으면 좋겠음,I hope my girlfriend is cool.
여자친구가 클럽에서 춤만 춘다는데 진짜일까,It's real for my girlfriend to dance in the club.
여자친구가 클럽을 간다면 어떻게해,What if my girlfriend goes to club
여자친구가 키가 너무 커,My girlfriend is tall too
여자친구가 표현을 하게하고싶은데 방법을 잘 모르겠어,"I want my girlfriend to express it, but I do not know how to do it."
여자친구가 향기에 집착해,Girlfriend is obsessed with the scent.
여자친구가 화나면 말을 안 해,"If my girlfriend is angry, I do not speak."
여자친구가 힘들어하는데 내가 뭘 해줄 수 있을까,"What can I do with my girlfriends,"
여자친구랑 남사친이 너무 친해,The girlfriend and the boyfriend are so close.
여자친구랑 뭐하고 노나,"What are you doing with your girlfriend,"
여자친구랑 스킨십하고싶어,I want to be a girlfriend with a girlfriend
여자친구랑 어디 놀러갈까,Where to play with my girlfriend
여자친구랑 연락 문제로 자주 싸워,Fought often with girlfriends
여자친구랑 진도가 너무 빠른거 같아,I think my girlfriend and my progress are too fast.
여자친구랑 피시방데이트도하고싶은데 어떻게 말을 할까,I want to have a girlfriend and a pissy dating. How do I say
여자친구를 믿는데 가끔 의심이 가,"I believe in my girlfriend,"
여자친구에게 고민이나 속사정을 어디까지 얘기해,I talk to my girlfriend and talk to my troubles.
여자친구에게 옷선물 좋은 브랜드있어,I got a good brand for my girlfriend's clothes.
여자친구에게 팔찌 목걸이 둘중하나만 선물할 수 있다면 뭐가 좋을까,"What if I can give my girlfriend, I can only present a bracelet necklace?"
여자친구에게 해줄만한 화장품 선물 뭐가 있을까,What is the cosmetic gift to do for girlfriends?
여자친구에게 힘들때 어떻게 해,How do you do when your girlfriend is hard
여자친구와 노래방을 가면 무슨 노래를 부르는게 좋을까,"If you go to your girlfriend and karaoke, what songs do you want to sing"
여자친구와 여행가고싶은데 부모님이 보수적이야,"I want to travel with my girlfriend, but my parents are conservative."
여자친구와 여행가는게 부담스러움,I'm going to travel with my girlfriend.
여자친구와 첫키스는 언제했어,When did my first kiss with my girlfriend?
여자친구와 커플링 꼭 해야 함,Coupling with girlfriends
여자친구의 sns말투가 고민이야,The SNS of the girlfriend is worried.
여자친구의 감정기복이 너무 심해,My girlfriend's emotional relief is too deep
여자친구의 과거 어디까지 이해해,I understand the past of my girlfriend.
여자친구의 성적 취향을 이해못하겠어,I do not understand the sexual taste of my girlfriend.
여자친구의 이성친구가 고민이야,My girlfriend's ridiculous friends are worried.
입냄새가 고민이야,I'm worried about odor.
여자친구의 핸드폰 저장명을 뭐로 하지,What do you do with your girlfriend's cell phone storage name
여자친구의 혼전순결이 고민이야,The chastity of the girlfriend is worried.
여자친구의 회사가 내가 다니는 회사랑 너무 비교돼,The girlfriend's company is too comparable to the company I go.
여자친구한테 더 이상 설레지 않아,I do not make a girlfriend anymore.
여자친구한테 더 이상 설레지 않아,I do not make a girlfriend anymore.
디퓨저 선물 해줄까,I would give a diffuser
여자친구한테 서운한 거 같은데 표현하는 게 좋을까,I think it's a friend to a girlfriend.
여자친구한테 핸드폰 공개해,I will release my cell phone to my girlfriend.
여자한테 언제 설레,When to a woman
여지를 준 짝녀 버려야겠죠,I have to throw away my wife.
여친 과소비 심해,My girlfriend and myself
여친 생겼는데 호칭 어떻게 함,How did you get your girlfriend
여친 쌩얼보고 깜놀했어,I did not see my girlfriend.
여친 있는 짝남이 너무 친절하게 대해줘서 착각하게 돼요,My girlfriend is mistaken for me to be so kind.
여친 있는 짝남이랑 연락을 해도 될까,Can I contact my girlfriend?
여친 있는데 다른 여자랑 썸 가능,"I have a girlfriend,"
여친에게 운동을 하자고 어떻게 돌려말하지,How do you exercise your girlfriend?
여친이 나랑 찍은 사진 프사로 안해,My girlfriend does not have a picture taken with me.
여친이 나를 안 좋아하는데 내가 붙잡고 있는 것 같아요,"My girlfriend does not like me, I think I got it."
여친이 나를 좋아하는게 맞는지 모르겠음,I do not know if my girlfriend likes me.
여친이 너무 많이 먹어,I eat too much girlfriend.
여친이 너무 예민해,My girlfriend is so sensitive.
여친이 아는 형이랑 썸 타는데,"My girlfriend knows,"
여친이 안 좋은 사이트 해,My girlfriend is a bad site
여친이 오히려 섬세하지 못해,My girlfriend is rather delicate.
여친이 외박이 안돼,My girlfriend is not a go.
여친이 있는 사람인데 왜 나한테 잘해주지,"Why are you having a girlfriend,"
여친이 있는데 다른 사람이 좋아지고 있어,"I have a girlfriend, but someone else is getting better."
여친하고 헤어진지 얼마 안됐는데 딴 사람 좋아하게 됨,It's been a while since I broke up.
여행 온 김에 짝녀 선물 사려하는데 어떻게 생각함,"What do you think about to buy a gift from the trip,"
여행 와서 짝남 선물 살까 하는데,I am going to travel and buy a mate.
여행 왔는데 좋아하는 선물로 뭐가 괜찮을까,"I came to a trip, but what's okay with my favorite gift?"
여행지에서 마음에 드는 사람 만났어,I met a person in a destination.
연극 보러 갈까,I will go to play
연락 계속 오면 관심 있는 거야,I'm interested in contacting the contact.
연락 많이 안하는 썸도 있나,I have a lot of contact
연락 많이하는데 썸인지 모르겠어,I do not know what to do.
연락 문제로 애인이랑 싸운 적 있어,I have fought with my lover as a contact problem.
연락 자주 하는데 친군가,I often contact us
연락만으로 썸 가능해,You can only contact us.
연락 문제로 싸웠는데 어쩌지,I fought in contact with a problem.
연락 문제로 지쳐가,Tired of contact problems
연락하고 싶어,I want to contact you
연락하고 싶어지네,I want to contact you.
연락해도될까,May I contact you?
연락해보까,Do you want to contact us.
연상 어때,How about reminiscent
연애 감흥이 점점 사라져,Love influence disappears
연애 고수 되려면,To be a love
연애 상대와 결혼 상대는 다를까,Love opponent and marriage opponent
연애 세포 깨우는 법,How to wake love cells
연애 안 한지 너무 오래 됐어,It's too long to have a love affair.
연애 어떻게 하는 거야,How do you do?
연애 어떻게 하는지 까먹었어,I forgot how I did it.
연애 잘하는 사람 부러워,I envy a lovely person
연애 중에 카톡 프사 연인으로 해 기본으로 하면 어때,How do you do it as a lover of Katokps during dating
연애 중인데 나 보수적인걸까,I'm in love.
연애 처음하는 남자친구,Lovely boyfriend
연애 초보다 연락을 너무 안해,I do not get in contact with the love.
연애는 시간낭비인듯,Love seems to be wasted time
연애는 진짜 좋아하는 사람이랑 해야해,Love should be a real favorite person.
연애는 하기 싫은데 썸은 타고 싶어,"I do not want to love, but I want to ride a thumb."
연애다운 연애 하고 싶어,I want to love love
연애도 좋지만 내 시간도 중요한 나 정상일까,"I love love, but my time is important or normal"
연애로 발전할 수 있을까,Could I develop with love
연애를 못 봐서 그런가 대화를 어떻게 해야할지 모르겠어,I do not know what to do with my love.
연애를 실패할 수록 두려워 좋은 사람 만날 수 있을까,"The more I fail to love, the fearful person I can meet"
연애를 오래하려면,To have a long love
연애보다 썸이 좋아,I like it than love
연애상담하더니 둘이 사귀더라,I've been in love with love.
연애상담해주던 사람이 좋아지는 거 같아,I think the person who was dating is better.
연애상담해줬더니 나만 바보됐어,"I gave me a love, and I was stupid."
연애세포 다 죽었나봐,Look at the love cell.
연애세포 다 죽은 듯,Dead love cells
연애세포가 다 죽었나,Did love cells died.
연애스타일이 너무 다른 남자친구와 어떻게 얘기를 해야할까,How should I talk to my love style with other boyfriends?
연애스타일이 너무 다른 여자친구와 어떻게 얘기를 해야할까,How should a love style to talk to other girlfriends?
